generation;individual;train_accuracy;test_accuracy
0;0;0.9017666666666667;0.8996
0;1;0.9030333333333334;0.8986
0;2;0.9074;0.9077
0;3;0.90485;0.9042
0;4;0.9051333333333333;0.9046
0;5;0.90665;0.9056
0;6;0.9023833333333333;0.9005
0;7;0.90575;0.9056
0;8;0.9058833333333334;0.9018
0;9;0.9015166666666666;0.8997
0;10;0.9063;0.904
0;11;0.9050666666666667;0.9028
0;12;0.9067833333333334;0.905
0;13;0.90435;0.9009
0;14;0.9023;0.9009
0;15;0.89495;0.8944
0;16;0.89815;0.8988
0;17;0.90665;0.905
0;18;0.8971166666666667;0.896
0;19;0.9063666666666667;0.9043
0;20;0.9053166666666667;0.9027
0;21;0.9025333333333333;0.9002
0;22;0.9076333333333333;0.9046
0;23;0.9109666666666667;0.9069
0;24;0.9091166666666667;0.9065
0;25;0.9074166666666666;0.9056
0;26;0.9064166666666666;0.9046
0;27;0.9069333333333334;0.9066
0;28;0.9031833333333333;0.9014
0;29;0.9079666666666667;0.9059
0;30;0.90545;0.904
0;31;0.90485;0.905
0;32;0.9033333333333333;0.9011
0;33;0.8935;0.8926
0;34;0.90535;0.9036
0;35;0.9055333333333333;0.905
0;36;0.90515;0.9033
0;37;0.89775;0.9003
0;38;0.9037666666666667;0.9023
0;39;0.9033666666666667;0.9025
0;40;0.8989;0.8982
0;41;0.9065;0.9039
0;42;0.9003333333333333;0.8979
0;43;0.89765;0.8988
0;44;0.9041166666666667;0.902
0;45;0.8989833333333334;0.8997
0;46;0.8976;0.8968
0;47;0.9075666666666666;0.9047
0;48;0.90555;0.9039
0;49;0.9042833333333333;0.9046
0;50;0.9025833333333333;0.9003
0;51;0.9025666666666666;0.9016
0;52;0.9033666666666667;0.8983
0;53;0.9076666666666666;0.9081
0;54;0.9012666666666667;0.8989
0;55;0.8936;0.8955
0;56;0.9039833333333334;0.9019
0;57;0.9026166666666666;0.9033
0;58;0.8985166666666666;0.8958
0;59;0.9;0.9034
0;60;0.9064166666666666;0.9049
0;61;0.905;0.9058
0;62;0.90395;0.9011
0;63;0.8981833333333333;0.8949
0;64;0.8954333333333333;0.8907
0;65;0.90755;0.9073
0;66;0.9090666666666667;0.9079
0;67;0.9061166666666667;0.9076
0;68;0.9052166666666667;0.905
0;69;0.9006166666666666;0.9026
0;70;0.9027166666666666;0.9016
0;71;0.9036833333333333;0.9016
0;72;0.9081;0.9054
0;73;0.9017833333333334;0.899
0;74;0.901;0.9017
0;75;0.9041;0.9036
0;76;0.90845;0.9049
0;77;0.8995;0.8963
0;78;0.9051;0.9043
0;79;0.9042166666666667;0.9047
0;80;0.8939666666666667;0.8954
0;81;0.90425;0.9043
0;82;0.90725;0.907
0;83;0.90365;0.9045
0;84;0.9043333333333333;0.9033
0;85;0.90455;0.9021
0;86;0.8997;0.8985
0;87;0.9049833333333334;0.9038
0;88;0.90565;0.9038
0;89;0.9054833333333333;0.9035
0;90;0.9036833333333333;0.9047
0;91;0.90835;0.9068
0;92;0.9067;0.9031
0;93;0.9078;0.9065
0;94;0.9009833333333334;0.9024
0;95;0.9058666666666667;0.9038
0;96;0.9102833333333333;0.9065
0;97;0.9021333333333333;0.9
0;98;0.9054;0.9053
0;99;0.9053333333333333;0.9042
0;100;0.9022333333333333;0.9014
0;101;0.9025;0.8999
0;102;0.9033;0.9006
0;103;0.9005333333333333;0.8982
0;104;0.9049666666666667;0.9041
0;105;0.9058833333333334;0.9057
0;106;0.9026333333333333;0.898
0;107;0.8989666666666667;0.8981
0;108;0.8988333333333334;0.8961
0;109;0.89635;0.8941
0;110;0.9072166666666667;0.9067
0;111;0.9029;0.9013
0;112;0.9045666666666666;0.9014
0;113;0.9063166666666667;0.9038
0;114;0.9044666666666666;0.9023
0;115;0.8965;0.9002
0;116;0.90245;0.9036
0;117;0.8950333333333333;0.8931
0;118;0.9066166666666666;0.9053
0;119;0.9025166666666666;0.9023
0;120;0.90815;0.9043
0;121;0.9053166666666667;0.9053
0;122;0.9073;0.9063
0;123;0.9054833333333333;0.9053
0;124;0.9007333333333334;0.8998
0;125;0.9114833333333333;0.9091
0;126;0.90435;0.9036
0;127;0.9068;0.9057
0;128;0.8937333333333334;0.892
0;129;0.9067666666666667;0.906
0;130;0.8959;0.8949
0;131;0.9013666666666666;0.9012
0;132;0.9033166666666667;0.9003
0;133;0.90405;0.9022
0;134;0.8985;0.8989
0;135;0.9002833333333333;0.8998
0;136;0.9062166666666667;0.901
0;137;0.8993;0.8986
0;138;0.9066666666666666;0.9027
0;139;0.9068;0.9042
0;140;0.9066166666666666;0.905
0;141;0.9024;0.9015
0;142;0.9030666666666667;0.9059
0;143;0.9031166666666667;0.9015
0;144;0.9053166666666667;0.9028
0;145;0.90885;0.9052
0;146;0.89475;0.892
0;147;0.9029666666666667;0.9006
0;148;0.9026666666666666;0.9017
0;149;0.8951166666666667;0.8962
0;150;0.901;0.9002
0;151;0.9007333333333334;0.8996
0;152;0.89705;0.8978
0;153;0.9051166666666667;0.8999
0;154;0.9076;0.9062
0;155;0.9029;0.9023
0;156;0.8958666666666667;0.8945
0;157;0.9022166666666667;0.9013
0;158;0.90555;0.9058
0;159;0.90265;0.9018
0;160;0.8987833333333334;0.9018
0;161;0.9051333333333333;0.9024
0;162;0.90355;0.903
0;163;0.9056333333333333;0.9039
0;164;0.9051;0.9033
0;165;0.90815;0.9076
0;166;0.9046;0.9015
0;167;0.9000666666666667;0.9003
0;168;0.9049833333333334;0.9055
0;169;0.8986;0.8985
0;170;0.9021833333333333;0.8995
0;171;0.9063333333333333;0.9035
0;172;0.9066833333333333;0.9049
0;173;0.9051166666666667;0.9042
0;174;0.9078166666666667;0.9055
0;175;0.9015666666666666;0.9029
0;176;0.9016;0.9018
0;177;0.9038166666666667;0.9043
0;178;0.8974333333333333;0.8941
0;179;0.90925;0.9069
0;180;0.906;0.9037
0;181;0.9056833333333333;0.9043
0;182;0.90415;0.9041
0;183;0.9015;0.9031
0;184;0.9090833333333334;0.9063
0;185;0.9008833333333334;0.9003
0;186;0.897;0.8926
0;187;0.8972833333333333;0.8964
0;188;0.9044;0.9032
0;189;0.9035;0.8992
0;190;0.9029166666666667;0.9011
0;191;0.9077;0.9047
0;192;0.9085166666666666;0.9056
0;193;0.9078166666666667;0.9063
0;194;0.9005;0.9015
0;195;0.9045833333333333;0.9037
0;196;0.9043833333333333;0.9025
0;197;0.9072;0.9046
0;198;0.8985333333333333;0.8997
0;199;0.90635;0.9039
1;0;0.9057666666666667;0.9075
1;1;0.9037;0.9013
