generation;individual;train_accuracy;test_accuracy
0;0;0.8554666666666667;0.8536
0;1;0.8408666666666667;0.8397
0;2;0.8121;0.8157
0;3;0.8493;0.8567
0;4;0.8321;0.8348
0;5;0.8604666666666667;0.8659
0;6;0.8807833333333334;0.8812
0;7;0.8470333333333333;0.8458
0;8;0.8525833333333334;0.853
0;9;0.8599166666666667;0.8667
0;10;0.8464166666666667;0.8478
0;11;0.81805;0.8241
0;12;0.7878333333333334;0.7906
0;13;0.8295833333333333;0.8296
0;14;0.83845;0.8323
0;15;0.8250833333333333;0.8273
0;16;0.8117333333333333;0.8128
0;17;0.8543166666666666;0.8617
0;18;0.8229333333333333;0.8217
0;19;0.8525833333333334;0.8501
0;20;0.85575;0.8555
0;21;0.7887666666666666;0.7884
0;22;0.8330666666666666;0.8291
0;23;0.8591333333333333;0.8658
0;24;0.8045833333333333;0.8027
0;25;0.83985;0.8365
0;26;0.79345;0.7946
0;27;0.7826;0.7762
0;28;0.8545833333333334;0.8529
0;29;0.8020833333333334;0.8051
0;30;0.8566;0.8556
0;31;0.8046666666666666;0.8031
0;32;0.8314666666666667;0.8327
0;33;0.8360333333333333;0.8451
0;34;0.8026333333333333;0.8135
0;35;0.8522666666666666;0.8561
0;36;0.8498666666666667;0.8537
0;37;0.85755;0.8555
0;38;0.8337833333333333;0.8285
0;39;0.84255;0.8445
0;40;0.82945;0.8247
0;41;0.8574666666666667;0.8658
0;42;0.78805;0.7829
0;43;0.85705;0.8598
0;44;0.8746;0.8724
0;45;0.8696166666666667;0.8702
0;46;0.85335;0.8555
0;47;0.8348666666666666;0.8439
0;48;0.8437833333333333;0.8397
0;49;0.843;0.8445
0;50;0.8612333333333333;0.8629
0;51;0.8119;0.8154
0;52;0.8495833333333334;0.8504
0;53;0.8036833333333333;0.793
0;54;0.8263666666666667;0.82
0;55;0.77075;0.7646
0;56;0.8046333333333333;0.8119
0;57;0.8331333333333333;0.8304
0;58;0.81675;0.816
0;59;0.7945666666666666;0.8012
0;60;0.8569;0.8583
0;61;0.8624166666666667;0.8592
0;62;0.7884;0.7783
0;63;0.82675;0.8314
0;64;0.8258166666666666;0.827
0;65;0.8311333333333333;0.8308
0;66;0.84355;0.846
0;67;0.804;0.8021
0;68;0.8199666666666666;0.8211
0;69;0.8405166666666667;0.8429
0;70;0.8674333333333333;0.8718
0;71;0.77995;0.7743
0;72;0.8610166666666667;0.862
0;73;0.8542;0.8514
0;74;0.8624833333333334;0.8665
0;75;0.8067666666666666;0.8053
0;76;0.84535;0.8457
0;77;0.8623;0.864
0;78;0.8159;0.817
0;79;0.8265333333333333;0.8279
0;80;0.8446333333333333;0.8453
0;81;0.8412833333333334;0.8438
0;82;0.85015;0.8493
0;83;0.8406;0.8447
0;84;0.8494;0.85
