generation;individual;train_accuracy;test_accuracy
0;0;0.8854166666666666;0.8858
0;1;0.8957833333333334;0.896
0;2;0.8791833333333333;0.881
0;3;0.8943833333333333;0.8948
0;4;0.8878;0.8858
0;5;0.8890833333333333;0.8873
0;6;0.9012166666666667;0.8983
0;7;0.8957333333333334;0.897
0;8;0.8953;0.8955
0;9;0.9001333333333333;0.9004
0;10;0.8936;0.8925
0;11;0.88705;0.8849
0;12;0.8871;0.8864
0;13;0.8908166666666667;0.8925
0;14;0.8918833333333334;0.8923
0;15;0.8938166666666667;0.8958
0;16;0.8903;0.8905
0;17;0.8875166666666666;0.8893
0;18;0.8878;0.8911
0;19;0.8826833333333334;0.8823
0;20;0.8904833333333333;0.8888
0;21;0.9004666666666666;0.902
0;22;0.8973833333333333;0.8991
0;23;0.8977833333333334;0.8986
0;24;0.8852166666666667;0.888
0;25;0.8945833333333333;0.8976
0;26;0.89335;0.8938
0;27;0.8926666666666667;0.8911
0;28;0.9005833333333333;0.9001
0;29;0.894;0.8922
0;30;0.8867;0.8888
0;31;0.8935333333333333;0.8966
0;32;0.8921;0.8948
0;33;0.8829333333333333;0.877
0;34;0.88495;0.8841
0;35;0.8949;0.891
0;36;0.8845833333333334;0.8881
0;37;0.8851333333333333;0.8854
0;38;0.8839166666666667;0.8863
0;39;0.8904166666666666;0.8945
0;40;0.8864333333333333;0.8857
0;41;0.88705;0.886
0;42;0.8915833333333333;0.8912
0;43;0.8925666666666666;0.8948
0;44;0.8825333333333333;0.8845
0;45;0.8771;0.8754
0;46;0.89735;0.897
0;47;0.8935333333333333;0.8959
0;48;0.8930833333333333;0.8931
0;49;0.8819166666666667;0.8826
0;50;0.8887333333333334;0.8923
0;51;0.8949333333333334;0.8969
0;52;0.89685;0.896
0;53;0.8837166666666667;0.8818
0;54;0.8974833333333333;0.8983
0;55;0.8737666666666667;0.8727
0;56;0.89205;0.8945
0;57;0.8971166666666667;0.894
0;58;0.8893833333333333;0.8925
0;59;0.893;0.8901
0;60;0.8877666666666667;0.8886
0;61;0.8934166666666666;0.8945
0;62;0.8935833333333333;0.8959
0;63;0.90005;0.8997
0;64;0.9042;0.9011
0;65;0.8885;0.8866
0;66;0.89435;0.8991
0;67;0.8957;0.892
0;68;0.8871166666666667;0.8872
0;69;0.89125;0.888
0;70;0.8794666666666666;0.8801
0;71;0.8870833333333333;0.8871
0;72;0.8942333333333333;0.8915
0;73;0.8934333333333333;0.8957
0;74;0.8982666666666667;0.8993
0;75;0.8923;0.8908
0;76;0.89215;0.8929
0;77;0.88785;0.8911
0;78;0.8980833333333333;0.899
0;79;0.8873833333333333;0.8902
0;80;0.88745;0.8852
0;81;0.8991833333333333;0.8994
0;82;0.9002;0.899
0;83;0.8950166666666667;0.8943
0;84;0.8973166666666667;0.8961
0;85;0.8926666666666667;0.8947
0;86;0.8942666666666667;0.8972
0;87;0.89875;0.9016
0;88;0.89155;0.8907
0;89;0.8957333333333334;0.8936
0;90;0.89325;0.8975
0;91;0.89265;0.8949
0;92;0.8898833333333334;0.8923
0;93;0.8888166666666667;0.8878
0;94;0.88465;0.8856
0;95;0.8784333333333333;0.8791
0;96;0.89505;0.8965
0;97;0.8929666666666667;0.8947
0;98;0.8871333333333333;0.8926
0;99;0.8853666666666666;0.8921
0;100;0.8979833333333334;0.8962
0;101;0.8847833333333334;0.8848
0;102;0.8806;0.8832
0;103;0.9003833333333333;0.9006
0;104;0.8963833333333333;0.899
0;105;0.8845833333333334;0.8865
0;106;0.8975166666666666;0.8953
0;107;0.8807166666666667;0.8827
0;108;0.8931833333333333;0.8927
0;109;0.8991;0.8973
0;110;0.8941833333333333;0.8925
0;111;0.8944833333333333;0.8956
0;112;0.87665;0.8747
0;113;0.8876166666666667;0.8911
0;114;0.8784166666666666;0.878
0;115;0.8935666666666666;0.8943
0;116;0.8922666666666667;0.895
0;117;0.8950333333333333;0.8944
0;118;0.89235;0.8935
0;119;0.8822166666666666;0.8849
0;120;0.8942;0.8923
0;121;0.89425;0.8956
0;122;0.8908833333333334;0.8925
0;123;0.8884166666666666;0.8929
0;124;0.8963666666666666;0.8975
0;125;0.89;0.8931
0;126;0.8832;0.8808
0;127;0.9009833333333334;0.8979
0;128;0.8958166666666667;0.8945
0;129;0.88625;0.8876
0;130;0.8921833333333333;0.8941
0;131;0.8875;0.8908
0;132;0.8766166666666667;0.8826
0;133;0.8891833333333333;0.8901
0;134;0.89075;0.8898
0;135;0.8917666666666667;0.8881
0;136;0.8919166666666667;0.8926
0;137;0.8875333333333333;0.8889
0;138;0.8909166666666667;0.8955
0;139;0.8958166666666667;0.8966
0;140;0.8882166666666667;0.8849
0;141;0.8869166666666667;0.8926
0;142;0.8992166666666667;0.8985
0;143;0.9021166666666667;0.9021
0;144;0.8861166666666667;0.8878
0;145;0.8889833333333333;0.8944
0;146;0.8968333333333334;0.8957
0;147;0.89905;0.898
0;148;0.8898666666666667;0.8905
0;149;0.8845666666666666;0.8847
0;150;0.8932333333333333;0.8958
0;151;0.8969166666666667;0.8978
0;152;0.8934833333333333;0.8938
0;153;0.8935;0.8954
0;154;0.8873;0.8873
0;155;0.8893166666666666;0.8891
0;156;0.8931166666666667;0.8947
0;157;0.89045;0.8937
0;158;0.8995833333333333;0.8998
0;159;0.89985;0.8989
0;160;0.8975333333333333;0.8984
0;161;0.8921333333333333;0.8944
0;162;0.88865;0.885
0;163;0.8984;0.8954
0;164;0.9012;0.8983
0;165;0.8974666666666666;0.8944
0;166;0.8858833333333334;0.8864
0;167;0.898;0.898
0;168;0.8964166666666666;0.8934
0;169;0.8993833333333333;0.9015
0;170;0.89845;0.8997
0;171;0.8952166666666667;0.8967
0;172;0.8897;0.8896
0;173;0.8941166666666667;0.8935
0;174;0.8568333333333333;0.8519
0;175;0.8871166666666667;0.8902
0;176;0.8979333333333334;0.8961
0;177;0.8963666666666666;0.8954
0;178;0.8958333333333334;0.8994
0;179;0.88165;0.8825
0;180;0.8826333333333334;0.8804
0;181;0.8891666666666667;0.8921
0;182;0.8751666666666666;0.8741
0;183;0.8826666666666667;0.8854
0;184;0.8986166666666666;0.8987
0;185;0.8974666666666666;0.8956
0;186;0.8751166666666667;0.8769
0;187;0.8950333333333333;0.8939
0;188;0.886;0.8889
0;189;0.8907166666666667;0.8947
0;190;0.9009166666666667;0.9002
0;191;0.88345;0.8844
0;192;0.8846666666666667;0.8827
0;193;0.8775333333333334;0.8793
0;194;0.8904833333333333;0.8911
0;195;0.8955666666666666;0.8985
0;196;0.8955333333333333;0.8955
0;197;0.8874833333333333;0.8906
0;198;0.8902833333333333;0.8918
0;199;0.8991666666666667;0.9015
1;0;0.8893333333333333;0.889
1;1;0.8900666666666667;0.887
1;2;0.8905333333333333;0.8897
1;3;0.8964666666666666;0.8972
1;4;0.8838833333333334;0.8872
1;5;0.8985666666666666;0.8945
1;6;0.8915833333333333;0.8922
1;7;0.8842166666666667;0.8841
1;8;0.89545;0.8961
1;9;0.8915166666666666;0.8923
1;10;0.8673166666666666;0.8735
1;11;0.88205;0.8826
1;12;0.8907666666666667;0.8925
1;13;0.9033;0.9018
1;14;0.8948666666666667;0.8946
1;15;0.8932833333333333;0.891
1;16;0.89385;0.8935
1;17;0.8877666666666667;0.8865
1;18;0.8991666666666667;0.898
1;19;0.8930666666666667;0.8969
1;20;0.8994166666666666;0.9028
1;21;0.8877333333333334;0.8854
1;22;0.8979;0.8982
1;23;0.8821;0.8829
1;24;0.8950166666666667;0.8967
1;25;0.89835;0.897
1;26;0.8858666666666667;0.8845
1;27;0.8867;0.8923
1;28;0.89415;0.895
1;29;0.8971;0.8992
1;30;0.8990333333333334;0.8988
1;31;0.8958333333333334;0.8964
1;32;0.8946;0.8945
1;33;0.8787666666666667;0.876
1;34;0.8836833333333334;0.885
1;35;0.88815;0.8894
1;36;0.8851166666666667;0.8874
1;37;0.8977166666666667;0.9003
1;38;0.8865333333333333;0.8845
1;39;0.894;0.8948
1;40;0.8761;0.8754
1;41;0.8821166666666667;0.88
1;42;0.8945666666666666;0.8906
1;43;0.88725;0.8889
1;44;0.896;0.8966
1;45;0.8839666666666667;0.884
1;46;0.8864333333333333;0.8858
1;47;0.8936;0.8927
1;48;0.8719;0.8693
1;49;0.8952666666666667;0.8951
1;50;0.8963166666666667;0.896
1;51;0.89575;0.8971
1;52;0.89955;0.8959
1;53;0.8906833333333334;0.8918
1;54;0.89415;0.8939
1;55;0.8956333333333333;0.8937
1;56;0.9017;0.9028
1;57;0.8965166666666666;0.8985
1;58;0.9001166666666667;0.8999
1;59;0.8983666666666666;0.8958
1;60;0.8960666666666667;0.8976
1;61;0.89855;0.8988
1;62;0.9017;0.9016
1;63;0.8973;0.8969
1;64;0.8670333333333333;0.8692
1;65;0.9025666666666666;0.9022
1;66;0.8937666666666667;0.8934
1;67;0.8722666666666666;0.8707
1;68;0.8960333333333333;0.896
1;69;0.8800166666666667;0.8851
1;70;0.8935833333333333;0.8909
1;71;0.8910333333333333;0.8893
1;72;0.8938833333333334;0.8918
1;73;0.8742333333333333;0.8784
1;74;0.8789833333333333;0.8796
1;75;0.8948666666666667;0.8913
1;76;0.89315;0.8929
1;77;0.8940833333333333;0.896
1;78;0.8897833333333334;0.8854
1;79;0.8982166666666667;0.8977
1;80;0.8878833333333334;0.8883
1;81;0.8918666666666667;0.8902
1;82;0.8923;0.891
1;83;0.88565;0.8816
1;84;0.8925666666666666;0.8926
1;85;0.8941;0.8934
1;86;0.8885;0.89
1;87;0.8919;0.891
1;88;0.8904166666666666;0.8934
1;89;0.8947833333333334;0.8974
1;90;0.9011333333333333;0.9015
1;91;0.9039666666666667;0.9038
1;92;0.8956833333333334;0.8934
1;93;0.8895;0.8905
1;94;0.8952333333333333;0.8936
1;95;0.89115;0.8912
1;96;0.8935;0.8958
1;97;0.8939;0.8949
1;98;0.8955833333333333;0.8943
1;99;0.8946666666666667;0.8948
1;100;0.893;0.8958
1;101;0.8802666666666666;0.8791
1;102;0.8903166666666666;0.8894
1;103;0.8937666666666667;0.8943
1;104;0.9005666666666666;0.9014
